latitude,longitude,altitude,geometry,RMC,site,drive,sol,easting,northing,elev_geoid,lon,lat,roll,pitch,yaw,yaw_rad,tilt,dist_m,dist_total_m,dist_km,dist_mi,drive_type
-4.590148,137.449275,-4519.219,Point,6_560,6,560,307,8147264.197,-272079.643,-4519.219,137.4492749,-4.59014815,-5.92,4.81,151.11,2.63728,7.62,31.78,808.23,0.81,0.5,final
-4.590378,137.449053,-4518.302,Point,6_646,6,646,308,8147251.041,-272093.27,-4518.302,137.449053,-4.59037804,-0.67,5.32,-125.19,-2.1849,5.36,22,830.23,0.83,0.52,final
-4.590374,137.449024,-4518.199,Point,6_658,6,658,309,8147249.314,-272093.02,-4518.199,137.4490239,-4.59037383,4.23,11.42,-89.96,-1.57009,12.17,1.81,832.04,0.83,0.52,final
-4.590455,137.44891,-4518.241,Point,6_704,6,704,313,8147242.566,-272097.82,-4518.241,137.44891,-4.5904548,6.11,0.75,104.85,1.82995,6.16,9.25,841.29,0.84,0.52,final
-4.590507,137.448813,-4518.184,Point,6_804,6,804,317,8147236.834,-272100.898,-4518.184,137.4488133,-4.59050673,-4.12,4.4,160.35,2.79859,6.03,6.83,848.12,0.85,0.53,final
-4.590203,137.448728,-4518.411,Point,7_0,7,0,324,8147231.787,-272082.871,-4518.411,137.4487282,-4.59020261,3.25,2.56,166.61,2.90796,4.14,18.01,866.14,0.87,0.54,final
-4.590189,137.448117,-4516.727,Point,7_136,7,136,327,8147195.562,-272082.072,-4516.727,137.448117,-4.59018913,0.81,11.84,-118.98,-2.07652,11.87,40.02,906.16,0.91,0.56,final
-4.590202,137.447535,-4515.412,Point,7_270,7,270,329,8147161.057,-272082.84,-4515.412,137.4475349,-4.59020208,2.06,2.24,-115.71,-2.01959,3.05,41.11,947.28,0.95,0.59,final
-4.590515,137.447213,-4513.88,Point,7_368,7,368,331,8147141.982,-272101.361,-4513.88,137.4472131,-4.59051454,-0.48,5.84,-138.89,-2.4241,5.86,28.02,975.29,0.98,0.61,final
-4.590705,137.447089,-4512.889,Point,8_0,8,0,333,8147134.598,-272112.646,-4512.889,137.4470885,-4.59070493,-3.3,1.2,-162.28,-2.83232,3.51,15.52,990.82,0.99,0.62,final
-4.591184,137.446737,-4511.034,Point,8_132,8,132,335,8147113.781,-272141.031,-4511.034,137.4467373,-4.5911838,2.15,5.66,-141.07,-2.46212,6.06,38.19,1029.01,1.03,0.64,final
-4.591452,137.446288,-4509.12,Point,8_234,8,234,336,8147087.162,-272156.916,-4509.12,137.4462883,-4.59145179,-0.26,5.33,-120.11,-2.09632,5.34,32.94,1061.95,1.06,0.66,final
-4.591768,137.44574,-4506.879,Point,8_494,8,494,337,8147054.646,-272175.674,-4506.879,137.4457397,-4.59176825,-1.42,4.45,-117.92,-2.05808,4.67,37.67,1099.63,1.1,0.68,final
-4.592082,137.44529,-4504.888,Point,8_610,8,610,338,8147027.971,-272194.275,-4504.888,137.4452897,-4.59208206,-1.71,3.7,-122.42,-2.13656,4.08,34.12,1133.75,1.13,0.7,final
-4.593046,137.44425,-4503.983,Point,9_0,9,0,340,8146966.348,-272251.434,-4503.983,137.44425,-4.59304637,1.6,-0.6,-117.35,-2.04821,1.71,100.27,1234.02,1.23,0.77,final
-4.593831,137.443653,-4501.174,Point,9_236,9,236,342,8146930.934,-272297.953,-4501.174,137.4436526,-4.59383117,1.64,3.73,-153.34,-2.67625,4.07,62.41,1296.43,1.3,0.81,final
-4.593837,137.443104,-4500.119,Point,9_366,9,366,343,8146898.4,-272298.299,-4500.119,137.4431037,-4.59383701,3.02,2.26,-118.56,-2.06925,3.77,33.67,1330.09,1.33,0.83,final
-4.594071,137.441967,-4499.665,Point,10_0,10,0,344,8146831.002,-272312.184,-4499.665,137.4419667,-4.59407125,-4.33,0.27,-119.5,-2.08567,4.33,70.09,1400.18,1.4,0.87,final
-4.594665,137.440999,-4499.672,Point,10_288,10,288,345,8146773.631,-272347.381,-4499.672,137.4409988,-4.59466505,-0.14,-2.34,-124.77,-2.17767,2.34,70.15,1470.33,1.47,0.91,final
-4.595182,137.440156,-4499.399,Point,10_508,10,508,347,8146723.658,-272378,-4499.399,137.4401557,-4.59518161,-4.12,-1.32,-149.8,-2.61458,4.33,60.12,1530.45,1.53,0.95,final
-4.596308,137.439878,-4500.205,Point,11_0,11,0,349,8146707.193,-272444.771,-4500.205,137.439878,-4.59630808,0.64,0.74,-150.06,-2.61897,0.98,70.16,1600.61,1.6,0.99,final
-4.596859,137.438602,-4501.355,Point,11_302,11,302,351,8146631.541,-272477.426,-4501.355,137.4386017,-4.59685899,0.32,1.81,-125.01,-2.18185,1.84,85.12,1685.73,1.69,1.05,final
-4.596819,137.437828,-4500.534,Point,11_522,11,522,354,8146585.668,-272475.066,-4500.534,137.4378277,-4.59681917,1.02,3.97,-125.02,-2.18194,4.1,57.1,1742.82,1.74,1.08,final
-4.596951,137.43701,-4500.986,Point,11_748,11,748,356,8146537.221,-272482.859,-4500.986,137.4370104,-4.59695064,1.07,-0.2,-154.94,-2.70423,1.09,50.03,1792.85,1.79,1.11,final
-4.597514,137.436924,-4500.598,Point,12_0,12,0,358,8146532.092,-272516.248,-4500.598,137.4369239,-4.59751394,-2.05,3.43,-165.91,-2.89572,4,35.04,1827.88,1.83,1.14,final
-4.598564,137.436403,-4501.373,Point,12_244,12,244,361,8146501.191,-272578.477,-4501.373,137.4364026,-4.59856378,-1.48,3.59,-157.02,-2.74055,3.88,73.06,1900.95,1.9,1.18,final
-4.598978,137.435082,-4502.029,Point,12_560,12,560,363,8146422.887,-272603.006,-4502.029,137.4350815,-4.5989776,-1.54,-0.34,-144.12,-2.51532,1.58,84.57,1985.52,1.99,1.23,final
-4.599239,137.43473,-4502.078,Point,12_690,12,690,365,8146402.047,-272618.52,-4502.078,137.4347299,-4.59923933,-1.86,0.71,-134.89,-2.35428,2,26.45,2011.97,2.01,1.25,final
-4.599891,137.43374,-4503.414,Point,13_0,13,0,369,8146343.363,-272657.154,-4503.414,137.4337399,-4.59989111,-2.74,0.56,-145.1,-2.53239,2.8,70.12,2082.09,2.08,1.29,final
-4.600004,137.43256,-4503.253,Point,13_292,13,292,370,8146273.43,-272663.873,-4503.253,137.4325601,-4.60000446,-0.5,0.83,-150.27,-2.6227,0.98,81.57,2163.67,2.16,1.34,final
-4.600243,137.431071,-4503.265,Point,13_974,13,974,371,8146185.145,-272677.996,-4503.265,137.4310707,-4.60024272,-4.92,6.09,-155.86,-2.72029,7.82,110.15,2273.82,2.27,1.41,final
-4.600517,137.430491,-4502.104,Point,14_0,14,0,372,8146150.785,-272694.268,-4502.104,137.430491,-4.60051724,1.53,3.15,-144.41,-2.52042,3.5,40.11,2313.93,2.31,1.44,final
-4.601089,137.430643,-4501.714,Point,14_156,14,156,374,8146159.811,-272728.188,-4501.714,137.4306433,-4.60108949,0.02,0.96,-152.07,-2.65415,0.96,42.87,2356.8,2.36,1.46,final
-4.601642,137.430208,-4503.456,Point,14_454,14,454,376,8146134.025,-272760.916,-4503.456,137.4302083,-4.60164163,-3.85,1.2,-149.18,-2.60366,4.04,43.01,2399.81,2.4,1.49,final
-4.602228,137.429607,-4502.422,Point,14_800,14,800,377,8146098.398,-272795.656,-4502.422,137.4296072,-4.60222772,-2.71,1.75,-138.85,-2.4234,3.23,61.3,2461.11,2.46,1.53,final
-4.603365,137.428661,-4503.206,Point,14_1132,14,1132,378,8146042.295,-272863.059,-4503.206,137.4286607,-4.60336485,-0.06,-0.12,-137.42,-2.39851,0.13,90.11,2551.22,2.55,1.59,final
-4.603459,137.428428,-4502.518,Point,14_1262,14,1262,379,8146028.51,-272868.615,-4502.518,137.4284282,-4.60345858,-2.09,1.36,-129.9,-2.26714,2.49,15.11,2566.33,2.57,1.59,final
-4.603925,137.427912,-4503.537,Point,15_0,15,0,383,8145997.895,-272896.24,-4503.537,137.4279117,-4.60392463,1.03,-0.81,-135.43,-2.36366,1.31,42.44,2608.77,2.61,1.62,final
-4.606005,137.427272,-4500.897,Point,15_998,15,998,385,8145959.984,-273019.545,-4500.897,137.4272721,-4.60600486,3.14,1.74,-173.68,-3.03126,3.59,141.49,2750.26,2.75,1.71,final
-4.60625,137.427059,-4501.717,Point,15_1230,15,1230,388,8145947.357,-273034.1,-4501.717,137.427059,-4.60625041,4.94,0.29,179.4,3.13114,4.95,24.28,2774.54,2.77,1.72,final
-4.607073,137.426279,-4505.884,Point,16_0,16,0,390,8145901.104,-273082.885,-4505.884,137.4262787,-4.60707345,2.28,3.36,160.53,2.80181,4.06,75.18,2849.72,2.85,1.77,final
-4.607115,137.426291,-4505.705,Point,16_50,16,50,392,8145901.83,-273085.338,-4505.705,137.426291,-4.60711483,-1.29,4.55,141.11,2.46287,4.73,2.74,2852.46,2.85,1.77,final
-4.607217,137.426275,-4505.069,Point,16_148,16,148,396,8145900.867,-273091.391,-4505.069,137.4262747,-4.60721695,1.05,9.29,173.93,3.03566,9.35,9.8,2862.26,2.86,1.78,final
-4.607204,137.425896,-4504.947,Point,16_328,16,328,402,8145878.402,-273090.635,-4504.947,137.4258957,-4.60720419,-1.93,10.28,-99.87,-1.74309,10.46,22.79,2885.05,2.89,1.79,final
-4.608043,137.425251,-4504.725,Point,16_1052,16,1052,403,8145840.209,-273140.377,-4504.725,137.4252514,-4.60804337,3.93,4.83,-139.3,-2.43117,6.22,67.92,2952.97,2.95,1.83,final
-4.608584,137.424418,-4502.784,Point,16_1584,16,1584,404,8145790.781,-273172.451,-4502.784,137.4244175,-4.60858448,-0.29,0.21,-97.09,-1.69447,0.36,64.27,3017.24,3.02,1.87,final
-4.609541,137.423911,-4503.484,Point,17_0,17,0,406,8145760.729,-273229.17,-4503.484,137.4239105,-4.60954136,1.96,-2.33,-149.14,-2.60302,3.05,72.64,3089.88,3.09,1.92,final
-4.610645,137.424049,-4503.192,Point,17_676,17,676,409,8145768.951,-273294.6,-4503.192,137.4240492,-4.61064521,1.47,1.72,-173.87,-3.03459,2.26,70.57,3160.45,3.16,1.96,final
-4.611086,137.423736,-4502.144,Point,17_820,17,820,410,8145750.4,-273320.705,-4502.144,137.4237363,-4.61108561,-1.7,4.23,-145.54,-2.54017,4.56,32.93,3193.38,3.19,1.98,final
-4.611823,137.422374,-4502.94,Point,18_0,18,0,412,8145669.67,-273364.389,-4502.94,137.4223743,-4.61182259,4.09,0.89,-142.2,-2.48179,4.19,97.31,3290.69,3.29,2.04,final
-4.613045,137.422373,-4500.415,Point,18_422,18,422,413,8145669.561,-273436.867,-4500.415,137.4223725,-4.61304534,-1.14,1.68,160.15,2.79521,2.03,79.79,3370.48,3.37,2.09,final
-4.613357,137.421488,-4498.844,Point,18_786,18,786,417,8145617.113,-273455.365,-4498.844,137.4214876,-4.61335741,0.36,5.97,175.38,3.06103,5.98,58.51,3428.99,3.43,2.13,final
-4.615214,137.42077,-4497.884,Point,19_0,19,0,419,8145574.549,-273565.408,-4497.884,137.4207696,-4.6152139,-1.6,1.32,179.67,3.13582,2.07,125.79,3554.78,3.55,2.21,final
-4.616304,137.420416,-4497.569,Point,19_320,19,320,422,8145553.58,-273630,-4497.569,137.4204158,-4.61630361,-1.34,0.41,179.33,3.12982,1.4,69.95,3624.73,3.62,2.25,final
-4.617717,137.420161,-4497.953,Point,19_1066,19,1066,424,8145538.486,-273713.801,-4497.953,137.4201612,-4.61771738,3.57,0.15,-155.02,-2.70554,3.57,94.44,3719.17,3.72,2.31,final
-4.618001,137.419445,-4496.583,Point,20_0,20,0,426,8145496.025,-273730.6,-4496.583,137.4194448,-4.61800079,4.67,5.76,-154.44,-2.69544,7.41,47.84,3767.01,3.77,2.34,final
-4.618455,137.418884,-4496.471,Point,20_256,20,256,429,8145462.789,-273757.518,-4496.471,137.4188841,-4.61845491,4.09,0.81,-159.33,-2.78089,4.17,46.38,3813.39,3.81,2.37,final
-4.619215,137.41818,-4495.627,Point,20_764,20,764,431,8145421.062,-273802.574,-4495.627,137.4181801,-4.61921504,2.69,-2.62,-149.93,-2.61685,3.75,71.55,3884.94,3.88,2.41,final
-4.619986,137.417153,-4492.435,Point,21_0,21,0,433,8145360.152,-273848.295,-4492.435,137.4171525,-4.61998638,2.73,5.15,-138.98,-2.42569,5.83,93.39,3884.94,3.88,2.41,final
-4.621081,137.416146,-4492.788,Point,21_646,21,646,436,8145300.492,-273913.17,-4492.788,137.4161461,-4.62108086,2.92,3.35,-159.84,-2.78966,4.44,93.5,4071.82,4.07,2.53,final
-4.621534,137.416014,-4492.055,Point,21_1028,21,1028,437,8145292.652,-273940.023,-4492.055,137.4160138,-4.62153388,1.98,3.02,-159.13,-2.7773,3.61,31.91,4103.73,4.1,2.55,final
-4.621985,137.415335,-4494.083,Point,21_1362,21,1362,438,8145252.393,-273966.773,-4494.083,137.4153346,-4.62198517,-2.85,3.78,-148.14,-2.58546,4.73,48.85,4152.58,4.15,2.58,final
-4.622291,137.415059,-4494.308,Point,21_1572,21,1572,439,8145236.027,-273984.902,-4494.308,137.4150585,-4.62229102,2.41,1.95,-139.87,-2.44115,3.1,25.52,4178.1,4.18,2.6,final
-4.622334,137.415001,-4493.677,Point,22_0,22,0,440,8145232.592,-273987.465,-4493.677,137.4150005,-4.62233426,-3.35,12.08,-167.39,-2.92149,12.53,4.69,4182.79,4.18,2.6,final
-4.622509,137.414676,-4492.153,Point,22_484,22,484,453,8145213.33,-273997.832,-4492.153,137.4146756,-4.62250916,-2.98,5.26,-150.31,-2.62342,6.05,46.87,4229.66,4.23,2.63,final
-4.622435,137.413126,-4492.851,Point,23_0,23,0,454,8145121.463,-273993.422,-4492.851,137.4131257,-4.62243476,3.81,6.02,-148.2,-2.58658,7.12,103.32,4332.99,4.33,2.69,final
-4.623129,137.41236,-4492.929,Point,23_616,23,616,455,8145076.059,-274034.547,-4492.929,137.4123597,-4.62312856,-0.09,1.06,141.3,2.46619,1.06,87.17,4420.15,4.42,2.75,final
-4.623463,137.411841,-4492.651,Point,23_890,23,890,465,8145045.295,-274054.395,-4492.651,137.4118407,-4.62346341,-0.86,3.93,-153.55,-2.67999,4.02,50.32,4470.47,4.47,2.78,final
-4.624251,137.411061,-4491.02,Point,24_0,24,0,470,8144999.057,-274101.062,-4491.02,137.4110607,-4.62425071,2.28,0.4,-150.5,-2.62676,2.31,73.98,4544.45,4.54,2.82,final
-4.624877,137.410566,-4489.721,Point,24_192,24,192,472,8144969.717,-274138.207,-4489.721,137.4105657,-4.62487737,9.31,7.9,-144.2,-2.51668,12.19,50.02,4594.47,4.59,2.85,final
-4.624881,137.410477,-4490.101,Point,24_312,24,312,474,8144964.467,-274138.395,-4490.101,137.4104771,-4.62488054,3.85,5.94,-155.31,-2.71075,7.07,8.68,4603.15,4.6,2.86,final
-4.624957,137.410437,-4489.783,Point,24_366,24,366,477,8144962.079,-274142.927,-4489.783,137.4104368,-4.624957,1.96,4.53,-173.8,-3.0333,4.93,5.29,4608.44,4.61,2.86,final
-4.624948,137.410444,-4489.727,Point,24_378,24,378,488,8144962.497,-274142.397,-4489.727,137.4104439,-4.62494805,1.73,3.79,-173.44,-3.02703,4.17,0.52,4608.96,4.61,2.86,final
-4.624968,137.410437,-4489.77,Point,24_408,24,408,490,8144962.102,-274143.551,-4489.77,137.4104372,-4.62496752,3,4.12,-173.3,-3.02465,5.1,1.26,4610.22,4.61,2.86,final
-4.625259,137.410284,-4488.783,Point,25_0,25,0,494,8144953.039,-274160.839,-4488.783,137.4102843,-4.62525918,5.35,7.87,-148.37,-2.58954,9.51,20.21,4630.44,4.63,2.88,final
-4.625275,137.409923,-4489.749,Point,25_154,25,154,504,8144931.595,-274161.76,-4489.749,137.4099225,-4.62527472,6.72,2.95,-149.59,-2.61088,7.34,23.46,4653.9,4.65,2.89,final
-4.62555,137.409625,-4488.984,Point,25_242,25,242,506,8144913.935,-274178.087,-4488.984,137.4096246,-4.62555017,2.28,3.79,-145.04,-2.5315,4.42,25.06,4678.96,4.68,2.91,final
-4.625699,137.409575,-4489.165,Point,25_312,25,312,508,8144910.983,-274186.887,-4489.165,137.4095748,-4.62569863,3.45,-0.86,-161.39,-2.81682,3.55,9.5,4688.46,4.69,2.91,final
-4.626121,137.409568,-4487.845,Point,25_510,25,510,511,8144910.581,-274211.912,-4487.845,137.409568,-4.62612081,3.2,4.13,-170.3,-2.97225,5.22,28.55,4717.01,4.72,2.93,final
-4.626143,137.409561,-4487.83,Point,25_540,25,540,513,8144910.165,-274213.198,-4487.83,137.409561,-4.62614251,3.38,1.72,-169.49,-2.95816,3.79,1.24,4718.25,4.72,2.93,final
-4.626535,137.40923,-4486.713,Point,25_750,25,750,515,8144890.54,-274236.444,-4486.713,137.4092299,-4.62653468,4.17,8.42,-148.8,-2.59704,9.39,30.35,4748.6,4.75,2.95,final
-4.626539,137.408967,-4487.286,Point,25_886,25,886,518,8144874.936,-274236.703,-4487.286,137.4089667,-4.62653905,7.45,3.95,-134.34,-2.34465,8.43,15.72,4764.31,4.76,2.96,final
-4.626482,137.408553,-4489.505,Point,25_1070,25,1070,519,8144850.419,-274233.304,-4489.505,137.408553,-4.62648171,3.88,-0.32,-134.27,-2.34344,3.89,25.25,4789.57,4.79,2.98,final
